序号	分类目	昆虫名称	共生体分类属	共生体名称	功能
RISB1364	Hemiptera	Brachynema germari Kolenati	Pantoea	Pantoea sp.	the symbiont-free insects exhibited retarded growth, lower longevity, and adult body weight
RISB1365	Lepidoptera	Spodoptera frugiperda	None	gut bacteria	gut bacteria include suppression and detoxification of plant defences
RISB1366	Lepidoptera	Helicoverpa zea	None	gut bacteria	gut bacteria include suppression and detoxification of plant defences
RISB1367	Coleoptera	Henosepilachna vigintioctopunctata	None	gut bacteria	None
RISB1368	Hemiptera	Riptortus pedestris	Burkholderia	Burkholderia	recycling host metabolic wastes into essential amino acids and B vitamins in the M4 crypts
RISB1369	Hemiptera	Rhodnius prolixus	Serratia	Serratia marcescens	None
RISB1370	Hemiptera	Sitobion avenae	Candidatus Regiella	Candidatus Regiella insecticola	Regiella infection decreased the intrinsic rate of increase (rm) of aphids at 25 °C and 28 °C. However, at 31 °C, the effect of Regiella on the rm varied depending on the aphid genotype and density. Thus, the negative effects of this endosymbiont on its host were environmentally dependent.
RISB1371	Hemiptera	Aphis gossypii	Arsenophonus	Arsenophonus	infections with Arsenophonus facultative endosymbionts alter performance of aphids on an amino-acid-deficient diet
RISB1372	Lepidoptera	Spodoptera frugiperda	Xenorhabdus	Xenorhabdus rhabduscin	the products of the symbiont gene cluster inhibit Spodoptera frugiperda phenoloxidase activity
RISB1373	Hemiptera	Bemisia tabaci	Arsenophonus	Arsenophonus	None
RISB1374	Hemiptera	Bemisia tabaci	Halomonas	Halomonas	None
RISB1375	Hemiptera	Bemisia tabaci	Rickettsia	Rickettsia	None
RISB1376	Lepidoptera	Thitarodes	Aureobasidium	Aureobasidium	producing useful enzymes, such as amylases, cellulases, lipases, proteases, xylanases, and mannanases
RISB1377	Lepidoptera	Thitarodes pui	Aureobasidium	Aureobasidium	play important roles in helping the host larva to digest foods, adapt to extreme environments, or resist pathogens
RISB1378	Lepidoptera	Thitarodes pui	Carnobacterium	Carnobacterium	promote the growth of Thitarodes larvae, elevate bacterial diversity, maintain a better balance of intestinal flora, and act as a probiotic in Thitarodes
RISB1379	Lepidoptera	Thitarodes pui	Malassezia	Malassezia	None
RISB1380	Lepidoptera	Thitarodes pui	Phoma	Phoma	play important roles in helping the host larva to digest foods, adapt to extreme environments, or resist pathogens
RISB1381	Lepidoptera	Thitarodes pui	Spiroplasma	Spiroplasma	play important roles in helping the host larva to digest foods, adapt to extreme environments, or resist pathogens
RISB1382	Lepidoptera	Thitarodes pui	Wolbachia	Wolbachia	play important roles in helping the host larva to digest foods, adapt to extreme environments, or resist pathogens
RISB1383	Coleoptera	Rhynchophorus ferrugineus	None	gut bacteria	Defense against pathogenic bacteria (via host immune stimulation)
RISB1384	Coleoptera	Rhynchophorus ferrugineus	None	gut bacteria	confer protection by priming the immune system of host
RISB1385	Hemiptera	Dactylopius coccus	Candidatus Dactylopiibacterium	Candidatus Dactylopiibacterium carminicum	Dactylopiibacterium may catabolize plant polysaccharides, and be active in carbon and nitrogen provisioning through its degradative activity and by fixing nitrogen;this symbiont was also shown to occur in the hemolymph, probably delivering essential amino acids and riboflavin to the host from nitrogen substrates derived from nitrogen fixation.
RISB1386	Hemiptera	Plautia stali	Pantoea	Pantoea	Affect oviposition behavior, morphogenesis and development
RISB1387	Diptera	Glossina	Wigglesworthia	Wigglesworthia	Wigglesworthia provisions folate (vitamin B9) that pathogenic African trypanosomes exploit in an effort to successfully establish an infection in the vector’s MG
RISB1388	Hemiptera	Yamatotettix flavovittatus	Candidatus Yamatotia	Candidatus Yamatotia cicadellidicola	suggested as coprimary symbiont
RISB1389	Hemiptera	Aphis gossypii	Buchnera	Buchnera aphidicola	nutrient-provisioning
RISB1390	Hemiptera	Aphis fabae	Buchnera	Buchnera aphidicola	nutrient-provisioning
RISB1391	Hymenoptera	Tetragonisca angustula	Streptomyces	Streptomyces sp.	producing antibiotic, exhibit antimicrobial activity, mainly to Gram-positive bacteria and fungi
RISB1392	Lepidoptera	Spodoptera frugiperda	Enterobacter	Enterobacter sp. FAW4-1	microbe-mediated assaults by maize defenses on the fall armyworm on the insect digestive and immune system reduced growth and elevated mortality in these insects
RISB1393	Lepidoptera	Spodoptera frugiperda	Enterococcus	Enterococcus sp. FAW13-5	microbe-mediated assaults by maize defenses on the fall armyworm on the insect digestive and immune system reduced growth and elevated mortality in these insects
RISB1394	Lepidoptera	Spodoptera frugiperda	Klebsiella	Klebsiella sp. FAW8-1	microbe-mediated assaults by maize defenses on the fall armyworm on the insect digestive and immune system reduced growth and elevated mortality in these insects
RISB1395	Coleoptera	Octodonta nipae	Wolbachia	Wolbachia	None
RISB1396	Diptera	Delia antiqua	Citrobacter	Citrobacter freundii	suppressed Beauveria bassiana conidia germination and hyphal growth
RISB1397	Diptera	Delia antiqua	Enterobacter	Enterobacter ludwigii	suppressed Beauveria bassiana conidia germination and hyphal growth
RISB1398	Diptera	Delia antiqua	Pseudomonas	Pseudomonas protegens	suppressed Beauveria bassiana conidia germination and hyphal growth
RISB1399	Diptera	Delia antiqua	Serratia	Serratia plymuthica	suppressed Beauveria bassiana conidia germination and hyphal growth
RISB1400	Diptera	Delia antiqua	Sphingobacterium	Sphingobacterium faecium	suppressed Beauveria bassiana conidia germination and hyphal growth
RISB1401	Diptera	Delia antiqua	Stenotrophomonas	Stenotrophomonas maltophilia	suppressed Beauveria bassiana conidia germination and hyphal growth
RISB1402	Diptera	Chironomus transvaalensis	None	gut bacteria	None
RISB1403	Coleoptera	Aethina tumida	Kodamaea	Kodamaea ohmeri	the volatiles produced by yeast-containing bee pollen dough eaten by beetle larvae are more attractive to adults
RISB1404	Lepidoptera	Spodoptera litura	Enterococcus	Enterococcus mundtii	degrading flubendiamide
RISB1405	Lepidoptera	Spodoptera litura	Enterococcus	Enterococcus casseliflavus	degrading flubendiamide
RISB1406	Lepidoptera	Anticarsia gemmatalis	Neurospora	Neurospora	degrading flubendiamide
RISB1407	Lepidoptera	Neotropical butterflies	None	Bacterial and fungal gut microbiota	digest compounds abundant in foods
RISB1408	Diptera	Anastrepha fraterculus	Wolbachia	Wolbachia	Wolbachia is the only known reproductive symbiont present in these morphotypes. Wolbachia reduced the ability for embryonic development in crosses involving cured females and infected males within each morphotype (uni-directional CI).
RISB1409	Diptera	Bactrocera oleae	None	gut bacteria	both the host attributes and the native gut-symbionts drive oviposition preference towards green olives in B. oleae
RISB1410	Diptera	Bactrocera oleae	Pantoea	Pantoea	Affect oviposition behavior, morphogenesis and development
RISB1411	Diptera	Bactrocera dorsalis	Enterococcus	Enterococcus faecalis	female Bactrocera dorsalis fed Enterococcus faecalis and Klebsiella oxytoca enriched diets lived longer but had lower fecundity
RISB1412	Diptera	Bactrocera dorsalis	Klebsiella	Klebsiella oxytoca	female Bactrocera dorsalis fed Enterococcus faecalis and Klebsiella oxytoca enriched diets lived longer but had lower fecundity
RISB1413	Diptera	Bactrocera dorsalis	Pantoea	Pantoea dispersa	causing female Bactrocera dorsalis laid more eggs but had shorter lifespan
RISB1414	Diptera	Bactrocera dorsalis	Enterobacter	Enterobacter cloacae	causing female Bactrocera dorsalis laid more eggs but had shorter lifespan
RISB1415	Blattodea	Psammotermes hypostoma	Bacillus	Bacillus cereus	isolates showed significant cellulolytic activity
RISB1416	Blattodea	Psammotermes hypostoma	Lysinibacillus	Lysinibacillus macrolides	isolates showed significant cellulolytic activity
RISB1417	Blattodea	Psammotermes hypostoma	Lysinibacillus	Lysinibacillus fusiformis	isolates showed significant cellulolytic activity
RISB1418	Blattodea	Psammotermes hypostoma	Paenibacillus	Paenibacillus lactis	isolates showed significant cellulolytic activity
RISB1419	Blattodea	Psammotermes hypostoma	Stenotrophomonas	Stenotrophomonas maltophilia	isolates showed significant cellulolytic activity
RISB1420	Coleoptera	Otiorhynchus sulcatus	Candidatus Nardonella	Candidatus Nardonella	None
RISB1421	Coleoptera	Otiorhynchus sulcatus	None	bacteria	None
RISB1422	Hymenoptera	Bombus spp.	Lactobacillus	Lactobacillus bombicola	The bumble bee microbiome slightly increases survivorship when the host is exposed to selenate
RISB1423	Hymenoptera	Bombus spp.	Snodgrassella	Snodgrassella alvi	The bumble bee microbiome slightly increases survivorship when the host is exposed to selenate
RISB1424	Hemiptera	Aphis aurantii	Rickettsia	Rickettsia	None
RISB1425	Hymenoptera	Formica exsecta	Wolbachia	Wolbachia wFex	show considerable rates of gene transfer from the symbiont to the host
RISB1426	Lepidoptera	Maculinea alcon	Serratia	Serratia marcescens	been associated with growth-promoting activity, is capable of producing volatile pyrazines, including 2,5-dimethylpyrazine and 3-ethyl-2,5-dimethylpyrazine, which are used as pheromones by ants
RISB1427	Lepidoptera	Maculinea alcon	Serratia	Serratia entomophila	may play a specific role in the production of deceptive pyrazines
RISB1428	Coleoptera	Rhynchophorus ferrugineus	Enterobacter	Enterobacter cloacae	promote the development and body mass gain of RPW larvae by improving their nutrition metabolism
RISB1429	Coleoptera	Rhynchophorus ferrugineus	Enterobacter	Enterobacter	Anti-phytopathogenic fungi activity; growth and development
RISB1430	Coleoptera	Rhynchophorus ferrugineus	Lactococcus	Lactococcus lactis	promote the development and body mass gain of RPW larvae by improving their nutrition metabolism
RISB1431	Lepidoptera	Cydia pomonella	Metschnikowia	Metschnikowia	provide nutritional services and accelerate host development
RISB1432	Diptera	Culex pipiens	Wolbachia	Wolbachia	alter host reproductive behavior
RISB1433	Hemiptera	Acyrthosiphon pisum	Serratia	Serratia symbiotica	enzymes from S. symbiotica may facilitate the digestion of plant proteins, thereby helping to suppress plant defense
RISB1434	Coleoptera	Ips typographus	Endoconidiophora	Endoconidiophora polonica	volatile compounds produced by Fungi may act as recognition signals for bark beetles to maintain specific microbial communities that might have impact on their fitness
RISB1435	Coleoptera	Ips typographus	Grosmannia	Grosmannia penicillata	volatile compounds produced by Fungi may act as recognition signals for bark beetles to maintain specific microbial communities that might have impact on their fitness
RISB1436	Coleoptera	Ips typographus	Grosmannia	Grosmannia europhioides	volatile compounds produced by Fungi may act as recognition signals for bark beetles to maintain specific microbial communities that might have impact on their fitness
RISB1437	Coleoptera	Ips typographus	Ophiostoma	Ophiostoma bicolor	volatile compounds produced by Fungi may act as recognition signals for bark beetles to maintain specific microbial communities that might have impact on their fitness
RISB1438	Coleoptera	Ips typographus	Ophiostoma	Ophiostoma piceae	volatile compounds produced by Fungi may act as recognition signals for bark beetles to maintain specific microbial communities that might have impact on their fitness
RISB1439	Diptera	Lutzomyia evansi	Candidatus Cardinium	Cardinium	‘Candidatus Cardinium’ is a recently described bacterium from the Bacteroidetes group involved in diverse reproduction alterations of its arthropod hosts (including cytoplasmic incompatibility, parthenogenesis, and feminization) similar to Wolbachia
RISB1440	Diptera	Lutzomyia evansi	Methylobacterium	Methylobacterium	Methylobacterium can be important in several physiological and metabolic processes in Lu. evansi, which suggests that interactions could occur with Leishmania parasite
RISB1441	Diptera	Lutzomyia evansi	Wolbachia	Wolbachia	regulate host reproduction
RISB1442	Hymenoptera	Habrobracon hebetor	Wolbachia	Wolbachia	Wolbachia induces cytoplasmic incompatibility (CI) in H. hebetor and affects host mating behavior in favor of its transmission
RISB1443	Diptera	Neoceratitis asiatica	Wolbachia	Wolbachia	induce complete cytoplasmic incompatibility
RISB1444	Hemiptera	Laodelphax striatellus	Wolbachia	Wolbachia wStri	Wolbachia-infected host embryonic development genes revealed Ddx1 mRNAs, which is required for host viability and in the germ line, accumulated in the posterior region of 3-day-old embryos
RISB1445	Hemiptera	Nilaparvata lugens	Wolbachia	Wolbachia	supplement biotin and riboflavin to enhance reproduction in planthoppers
RISB1446	Hemiptera	Nilaparvata lugens	Arsenophonus	Arsenophonus	Arsenophonus strain (S-type) negatively affected the insecticide resistance of the host
RISB1447	Hemiptera	Nilaparvata lugens	Arsenophonus	Arsenophonus strain (S-type)	with the S-type Arsenophonus significantly decreased host insecticide resistance
RISB1448	Hemiptera	Cinara strobi	Buchnera	Buchnera aphidicola	contribute to the hosts’ supply of essential nutrients
RISB1449	Hemiptera	Cinara strobi	Sodalis	Candidatus Sodalis sp.	contribute to the hosts’ supply of essential nutrients
RISB1450	Hemiptera	Ericerus pela	Cladosporium	Cladosporium langeronii	It infects and kills E. pela females
RISB1451	Hemiptera	Ericerus pela	Cladosporium	Cladosporium sphaerospermum	It infects and kills E. pela females
RISB1452	Coleoptera	Octodonta nipae	Wolbachia	Wolbachia	Wolbachia harbored dominantly in a female than the male adult, while, no significant differences were observed between male and female body parts and tissues
RISB1453	Diptera	Aedes aegypti	Chromobacterium	Chromobacterium sp.	aminopeptidase secreted by a Chromobacterium species suppresses DENV infection by directly degrading the DENV envelope protein
RISB1454	Coleoptera	Lagria hirta	Burkholderia	Burkholderia	provisioning of essential amino acids and/or vitamins
RISB1455	Coleoptera	Lagria villosa	Burkholderia	Burkholderia	provisioning of essential amino acids and/or vitamins
RISB1456	Coleoptera	Lagria villosa	Burkholderia	Burkholderia gladioli Lv-StB	None
RISB1457	Coleoptera	Lyctus brunneus	Candidatus Shikimatogenerans	Candidatus Shikimatogenerans	Possibly tyrosine precursor provisioning
RISB1458	Coleoptera	Multiple species	Candidatus Shikimatogenerans	Candidatus Shikimatogenerans	Possibly tyrosine precursor provisioning
RISB1459	Coleoptera	Oryzaephilus surinamensis	None	Bacteroidetes	Affect cuticle thickness, melanization and hydrocarbon profile, enhancing desiccation resistance and thereby strongly improving fitness under dry conditions.
RISB1460	Coleoptera	Oryzaephilus surinamensis	None	Bacteroidia	affect cuticle thickness, melanization and hydrocarbon profile, enhancing desiccation resistance and thereby strongly improving fitness under dry conditions
RISB1461	Lepidoptera	Spilosoma obliqua	None	gut bacteria	detoxifying processes – dehalogenation and aromatic hydrocarbons degradation
RISB1462	Lepidoptera	Spodoptera litura	None	gut bacteria	detoxifying processes –dehalogenation and aromatic hydrocarbons degradation
