Insect Species	Order	Family	Subfamily	Genus	Common Name	Description	Figure Source	Genome ID	Genome Level	BUSCO
Sitophilus zeamais	Coleoptera	Curculionidae	Dryophthorinae	Sitophilus	None	The maize weevil , known in the United States as the greater rice weevil, is a species of beetle in the family Curculionidae. It can be found in numerous tropical areas around the world, and in the United States, and is a major pest of maize. This species attacks both standing crops and stored cereal products, including wheat, rice, sorghum, oats, barley, rye, buckwheat, peas, and cottonseed. The maize weevil also infests other types of stored, processed cereal products such as pasta, cassava, and various coarse, milled grains. It has even been known to attack fruit while in storage, such as apples.	Wikipedia	None	None	None
Sogatella furcifera	Hemiptera	Delphacidae	Delphacinae	Sogatella	None	Sogatella furcifera is a migratory insect that is one of the most important pest species on rice in many Asian countries but problematic pest throughout the main rice-growing areas of Oceania and Australia too.	hollythefrog@BY-NC	GCA_014356515.1	Chromosome	C:94.3%[S:92.2%,D:2.1%],F:2.8%,M:2.9%,n:1367
Solenopsis invicta	Hymenoptera	Formicidae	Myrmicinae	Solenopsis	red imported fire ant，fire ant or RIFA	Solenopsis invicta is a species of ant native to South America. A member of the genus Solenopsis in the subfamily Myrmicinae, it was described by Swiss entomologist Felix Santschi as a variant in 1916. Its current specific name invicta was given to the ant in 1972 as a separate species. However, the variant and species were the same ant, and the name was preserved due to its wide use. Though South American in origin, the red imported fire ant has been accidentally introduced in Australia, New Zealand, several Asian and Caribbean countries, and the United States. The red imported fire ant is polymorphic, as workers appear in different shapes and sizes. The ants colours are red and somewhat yellowish with a brown or black gaster, but males are completely black. Red imported fire ants are dominant in altered areas and live in a wide variety of habitats. They can be found in rain forests, disturbed areas, deserts, grasslands, alongside roads and buildings, and in electrical equipment. Colonies form large mounds constructed from soil with no visible entrances because foraging tunnels are built and workers emerge far away from the nest.	Judy Gallagher@BY	GCA_016802725.1	Chromosome	C:94.8%[S:93.9%,D:0.9%],F:0.9%,M:4.3%,n:1367
Spalangia cameroni	Hymenoptera	Pteromalidae	Spalangiinae	Spalangia	None	Spalangia cameroni is a species of parasitic wasp in the genus Spalangia that feeds on houseflies. It has a lifecycle of 21–28 days, and is used as a biological pest control.	None	None	None	None
Sphingonotus mongolicus	Orthoptera	Anostostomatidae	Deinacridinae	Sphingonotus	None	Description is currently not available	Wikipedia	None	None	None
Spilosoma obliqua	Lepidoptera	Pyralidae	Galleriinae	Spilosoma	None	Spilosoma obliqua, the jute hairy caterpillar or Bihar hairy caterpillar, is a moth of the family Erebidae. It is found in south-eastern Afghanistan, northern Pakistan, India, Bhutan, Bangladesh and Myanmar.	Wikipedia	None	None	None
Spilostethus hospes	Hemiptera	Lygaeidae	None	Spilostethus	None	The Darth Maul bug , is a species of seed bug found in Asia, Australasia, and Oceania. Its common name is a reference to the Star Wars character Darth Maul, who shares similar markings. It is sometimes referred to as the Milkweed Bug in Australia because it feeds on Milkweed plants, however the Large Milkweed bug refers to a different species - Oncopelltus fasciatus. The two bugs both fall under the family of Lygaeidae and exhibit similar markings and behaviours. Large Milkweed bugs however, are found in North America, unlike the Darth Maul Bug. The distribution of the two bugs, and respective differing taxonomies suggest they are different species.	Wikipedia	None	None	None
Spodoptera exempta	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera	None	The African armyworm , also called okalombo, kommandowurm, or nutgrass armyworm, is a species of moth of the family Noctuidae. The larvae often exhibit marching behavior when traveling to feeding sites, leading to the common name "armyworm". The caterpillars exhibit density-dependent polyphenism where larvae raised in isolation are green, while those raised in groups are black. These phases are termed solitaria and gregaria, respectively. Gregaria caterpillars are considered very deleterious pests, capable of destroying entire crops in a matter of weeks. The larvae feed on all types of grasses, early stages of cereal crops , sugarcane, and occasionally on coconut. The solitaria caterpillars are less active and undergo much slower development. The species is commonly found in Africa, but can also be seen in Yemen, some Pacific islands, and parts of Australia. African armyworm outbreaks tend to be devastating for farmland and pasture in these areas, with the highest-density outbreaks occurring during the rainy season after periods of prolonged drought. During the long dry seasons , the population densities are very low and no outbreaks are seen.	Wikipedia	None	None	None
Spodoptera exigua	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera	beet armyworm or small mottled willow moth， asparagus fern caterpillar	Spodoptera exigua is one of the best-known agricultural pest insects.  It is native to Asia, but has been introduced worldwide and is now found almost anywhere its many host crops are grown.The voracious larvae are the main culprits.	giorege1959@BY-NC	GCA_011316535.1	Chromosome	C:97.6%[S:95.9%,D:1.7%],F:0.1%,M:2.3%,n:1367
Spodoptera frugiperda	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera	fall armyworm	Spodoptera frugiperda is a species in the order Lepidoptera and is the larval life stage of a fall armyworm moth. The term armyworm can refer to several species, often describing the large-scale invasive behavior of the species larval stage. It is regarded as a pest and can damage and destroy a wide variety of crops, which causes large economic damage. Its scientific name derives from frugiperda, which is Latin for lost fruit, named because of the species ability to destroy crops. Because of its propensity for destruction, the fall armyworms habits and possibilities for crop protection have been studied in depth. It is also a notable case for studying sympatric speciation, as it appears to be diverging into two species currently. Another remarkable trait of the larva is that they practice cannibalism as a disease control mechanism.	Peter and Kim@BY-NC	GCA_011064685.1	Chromosome	C:92.8%[S:90.4%,D:2.4%],F:1.2%,M:6.0%,n:1367
Spodoptera littoralis	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera	African cotton leafworm or Egyptian cotton leafworm or Mediterranean brocade	Spodoptera littoralis, also referred to as the African cotton leafworm or Egyptian cotton leafworm or Mediterranean brocade, is a species of moth in the family Noctuidae. S. littoralis is found widely in Africa, Mediterranean Europe and Middle Eastern countries. It is a highly polyphagous organism that is a pest of many cultivated plants and crops. As a result, this species was assigned the label of A2 quarantine pest by the EPPO and was cautioned as a highly invasive species in the United States. The devastating impacts caused by these pests have led to the development of both biological and chemical control methods. This moth is often confused with Spodoptera litura.	Wikipedia	None	None	None
Spodoptera litura	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera	tobacco cutworm or cotton leafworm	Spodoptera litura is a nocturnal moth in the family Noctuidae. S. litura is a serious polyphagous pest in Asia, Oceania, and the Indian subcontinent that was first described by Johan Christian Fabricius in 1775. Its common names reference two of the most frequent host plants of the moth. In total, 87 species of host plants that are infested by S. litura are of economic importance.The species parasitize the plants through the larvae vigorous eating patterns, oftentimes leaving the leaves completely destroyed. The moths effects are quite disastrous, destroying economically important agricultural crops and decreasing yield in some plants completely. Their potential impact on the many different cultivated crops, and subsequently the local agricultural economy, has led to serious efforts to control the pests.	Craig Williams@BY-NC	GCA_002706865.1	Chromosome	C:98.3%[S:97.5%,D:0.8%],F:0.4%,M:1.3%,n:1367
Stiretrus anchorago	Hemiptera	Pentatomidae	Asopinae	Stiretrus	anchor stink bug	Stiretrus anchorago is a species of predatory stink bug in the family Pentatomidae. It is found in Central America and North America.	cotinis@BY-NC-SA	GCA_010014745.1	Scaffold	C:68.1%[S:67.5%,D:0.6%],F:18.8%,M:13.1%,n:1367
Striacosta albicosta	Lepidoptera	Noctuidae	Noctuinae	Striacosta	None	The western bean cutworm  is a species of moth of the family Noctuidae and the only member of the genus Striacosta. It is endemic to the Western parts of the United States, but since 2000, the species has spread east through Iowa, Minnesota, Illinois, Missouri, Indiana, Wisconsin, Michigan and Ohio.	Wikipedia	None	None	None
Supella longipalpa	Blattodea	Ectobiidae	Plectopterinae	Supella	None	The brown-banded cockroach  is a species of small cockroach, measuring about 10 to 14 mm long and the most well-known in the genus Supella.  It is tan to light brown and has two light-colored bands across the wings and abdomen, which may sometimes appear to be broken or irregular but are quite noticeable. The bands may be partly obscured by the wings. The male has wings that cover the abdomen, while the female has wings that do not cover the abdomen completely. The male appears more slender than the female, the female appears wider.	Wikipedia	None	None	None
Synchalara rhombota	Lepidoptera	Xyloryctidae	None	Synchalara	None	Synchalara rhombota is a moth in the family Xyloryctidae. It was described by Edward Meyrick in 1907. It is found in Assam, India.	None	None	None	None
Takecallis taiwana	Hemiptera	Aleyrodidae	Aleyrodinae	Takecallis	None	Description is currently not available	Wikipedia	None	None	None
Tanna sp.	Hemiptera	Cicadidae	Cicadinae	Tanna	None	Description is currently not available	Wikipedia	None	None	None
Teleogryllus emma	Orthoptera	Gryllidae	Gryllinae	Teleogryllus	None	Description is currently not available	Wikipedia	None	None	None
Teleogryllus infernalis	Orthoptera	Gryllidae	Gryllinae	Teleogryllus	None	Description is currently not available	Wikipedia	None	None	None
Teleogryllus mitratus	Orthoptera	Gryllidae	Gryllinae	Teleogryllus	None	Description is currently not available	Wikipedia	None	None	None
Teleogryllus occipitalis	Orthoptera	Gryllidae	Gryllinae	Teleogryllus	None	Teleogryllus occipitalis is a species in the family Gryllidae.	張智偉(Chang, Jack, Chih-Wei)@BY-NC	GCA_011170035.1	Scaffold	C:95.4%[S:93.9%,D:1.5%],F:2.0%,M:2.6%,n:1367
Telmatometra withei	Hemiptera	Aleyrodidae	Aleyrodinae	Telmatometra	None	Description is currently not available	Wikipedia	None	None	None
Temnothorax rugatulus	Hymenoptera	Formicidae	Myrmicinae	Temnothorax	None	Temnothorax rugatulus is a species of ant in the genus Temnothorax.	Wikipedia	GCA_035220575.1	Contig	C:99.70%[S:96.85%,D:2.85%],F:0.07%,M:0.22%,n:1367
Tenebrio molitor	Coleoptera	Tenebrionidae	Tenebrioninae	Tenebrio	mealworm beetle	Tenebrio molitor is a species of darkling beetle. Like all holometabolic insects, they go through four life stages: egg, larva, pupa, and adult. Larvae typically measure about 2.5 cm or more, whereas adults are generally between 1.25 and 1.8 cm in length.	gbohne@BY-SA	GCA_014282415.2	Scaffold	C:90.3%[S:86.1%,D:4.2%],F:4.8%,M:4.9%,n:1367
Tenebrio sp.	Coleoptera	Tenebrionidae	Tenebrioninae	Tenebrio	None	Description is currently not available	Wikipedia	None	None	None
Tenodera sinensis	Mantodea	Mantidae	Tenoderinae	Tenodera	None	The Chinese mantis  is a species of mantis native to Asia and the nearby islands. In 1896, this species was accidentally introduced by a nursery tender at Mt. Airy near Philadelphia, United States. Tenodera sinensis often is erroneously referred to as Tenodera aridifolia sinensis because it was at first described as a subspecies of Tenodera aridifolia, but Tenodera sinensis is now established as a full species.	Wikipedia	GCA_030765045.1	Chromosome	C:99.71%[S:97.81%,D:1.90%],F:0.00%,M:0.29%,n:1367
Tessaratoma javanica	Hemiptera	Tessaratomidae	None	Tessaratoma	None	Description is currently not available	Wikipedia	None	None	None
Tessaratoma papillosa	Hemiptera	Tessaratomidae	None	Tessaratoma	None	Tessaratoma papillosa, the lychee giant stink bug, is a species of bug in the family Tessaratomidae. It is found in Indomalaya, Australasia, and Eastern Asia.	Wikipedia	None	None	None
Tetragonisca angustula	Hymenoptera	Apidae	Apinae	Tetragonisca	None	Tetragonisca angustula is a small eusocial stingless bee found in México, Central and South America. It is known by a variety of names in different regions . A subspecies, Tetragonisca angustula fiebrigi, occupies different areas in South America and has a slightly different coloration.	Wikipedia	GCA_036937485.2	Scaffold	C:99.85%[S:99.56%,D:0.29%],F:0.00%,M:0.15%,n:1367
Tetraponera binghami	Hymenoptera	Formicidae	Pseudomyrmecinae	Tetraponera	None	Description is currently not available	Wikipedia	None	None	None
Tetrastichus epilachnae	Hymenoptera	Eulophidae	Tetrastichinae	Tetrastichus	None	Description is currently not available	Wikipedia	None	None	None
Thasus neocalifornicus	Hemiptera	Coreidae	Coreinae	Thasus	None	The giant mesquite bug  is an insect of the order Hemiptera, or the "true bugs". As a member of the family Coreidae, it is a leaf-footed bug. As the common name implies, it is a large bug that feeds on mesquite trees of the American Southwest and Northwestern Mexico.	Wikipedia	None	None	None
Thaumetopoea pityocampa	Lepidoptera	Notodontidae	Thaumetopoeinae	Thaumetopoea	pine processionary	Thaumetopoea pityocampa is a moth of the subfamily Thaumetopoeinae in the family Notodontidae. The species was first described by Michael Denis and Ignaz Schiffermüller in 1775. Sometimes placed in the genus Traumatocampa, it is one of the most destructive species to pines and cedars in Central Asia, North Africa and the countries of southern Europe. The urticating hairs of the caterpillar larvae cause harmful reactions in humans and other mammals. The species is notable for the behaviour of its caterpillars, which overwinter in tent-like nests high in pine trees, and which proceed through the woods in nose-to-tail columns, protected by their severely irritating hairs, as described by the French entomologist Jean-Henri Fabre.	Donald Hobern@BY	GCA_017165845.1	Scaffold	C:82.9%[S:81.9%,D:1.0%],F:11.0%,M:6.1%,n:1367
