序号	记录类型	分类目	分类科	分类亚科	昆虫名称	共生体分类门	共生体分类目	共生体分类属	共生体分类级别	共生体分类阶元	共生体名称	种类	功能	功能标签	共生体序列数据	参考文献	doi号	期刊	出版年份	备注
1489	Symbiont	Lepidoptera	Bombycidae	Bombycinae	Bombyx mori	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus pumilus SW41	Bacteria	process a lipase gene and antiviral activity of its protein against B. mori nucleopolyhedrovirus (BmNPV)	Digestive enzymes,Pathogen interaction	None	Characterization of a Lipase From the Silkworm Intestinal Bacterium Bacillus pumilus With Antiviral Activity Against Bombyx mori (Lepidoptera: Bombycidae) Nucleopolyhedrovirus In Vitro	10.1093/jisesa/iey111	JOURNAL OF INSECT SCIENCE	2018	None
1490	Symbiont	Hemiptera	Pentatomidae	Pentatominae	Nezara viridula	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus sp.	Bacteria	help stinkbugs to feed on soybean developing seeds in spite of its chemical defenses by degrading isoflavonoids and deactivate soybean protease inhibitors	Plant secondary metabolites	None	Characterized non-transient microbiota from stinkbug (Nezara viridula) midgut deactivates soybean chemical defenses	10.1371/journal.pone.0200161	PLOS ONE	2018	None
1491	Symbiont	Hemiptera	Pentatomidae	Pentatominae	Nezara viridula	Pseudomonadota	Enterobacterales	Pantoea	Genus	Pantoea	Pantoea sp.	Bacteria	help stinkbugs to feed on soybean developing seeds in spite of its chemical defenses by degrading isoflavonoids and deactivate soybean protease inhibitors	Plant secondary metabolites	None	Characterized non-transient microbiota from stinkbug (Nezara viridula) midgut deactivates soybean chemical defenses	10.1371/journal.pone.0200161	PLOS ONE	2018	None
1492	Symbiont	Hemiptera	Pentatomidae	Pentatominae	Nezara viridula	Pseudomonadota	Enterobacterales	Yokenella	Genus	Yokenella	Yokenella sp.	Bacteria	help stinkbugs to feed on soybean developing seeds in spite of its chemical defenses by degrading isoflavonoids and deactivate soybean protease inhibitors	Plant secondary metabolites	None	Characterized non-transient microbiota from stinkbug (Nezara viridula) midgut deactivates soybean chemical defenses	10.1371/journal.pone.0200161	PLOS ONE	2018	None
1493	Symbiont	Hemiptera	Pentatomidae	Edessinae	Edessa sp.	Pseudomonadota	Enterobacterales	Pantoea	Genus	Pantoea	Candidatus Pantoea edessiphila SoEE	Bacteria	SoE can provide several amino acids, vitamins, and cofactors	Nutrient provision	GCA_002933315.1	Cladogenesis and Genomic Streamlining in Extracellular Endosymbionts of Tropical Stink Bugs	10.1093/gbe/evy033	GENOME BIOLOGY AND EVOLUTION	2018	None
1494	Symbiont	Hemiptera	Pentatomidae	Edessinae	Edessa sp.	Pseudomonadota	Enterobacterales	Pantoea	Genus	Pantoea	Candidatus Pantoea edessiphila SoEO	Bacteria	SoE can provide several amino acids, vitamins, and cofactors	Nutrient provision	GCA_002933345.1	Cladogenesis and Genomic Streamlining in Extracellular Endosymbionts of Tropical Stink Bugs	10.1093/gbe/evy033	GENOME BIOLOGY AND EVOLUTION	2018	None
1495	Symbiont	Hemiptera	Pentatomidae	Edessinae	Edessa sp.	Pseudomonadota	Enterobacterales	Pantoea	Genus	Pantoea	Candidatus Pantoea edessiphila SoET	Bacteria	SoE can provide several amino acids, vitamins, and cofactors	Nutrient provision	GCA_002933335.1	Cladogenesis and Genomic Streamlining in Extracellular Endosymbionts of Tropical Stink Bugs	10.1093/gbe/evy033	GENOME BIOLOGY AND EVOLUTION	2018	None
1496	Symbiont	Hemiptera	Pentatomidae	Edessinae	Edessa sp.	Pseudomonadota	Enterobacterales	Pantoea	Genus	Pantoea	Candidatus Pantoea edessiphila SoEL	Bacteria	SoE can provide several amino acids, vitamins, and cofactors	Nutrient provision	GCA_002933355.1	Cladogenesis and Genomic Streamlining in Extracellular Endosymbionts of Tropical Stink Bugs	10.1093/gbe/evy033	GENOME BIOLOGY AND EVOLUTION	2018	None
1497	Symbiont	Hemiptera	Eriococcidae	None	Greenisca brachypodii	Pseudomonadota	Enterobacterales	Candidatus Kotejella	Genus	Candidatus Kotejella	Candidatus Kotejella greeniscae	Bacteria	None	None	None	Coexistence of novel gammaproteobacterial and Arsenophonus symbionts in the scale insect Greenisca brachypodii (Hemiptera, Coccomorpha: Eriococcidae)	10.1111/1462-2920.14057	ENVIRONMENTAL MICROBIOLOGY	2018	None
1498	Amplicon	Lepidoptera	Nymphalidae	Heliconiinae	Heliconius sp.	None	None	None	None	None	gut bacteria	Bacteria	None	None	SRX3089026-SRX3089063	Conserved microbiota among young Heliconius butterfly species	10.7717/peerj.5502	PEERJ	2018	None
1499	Symbiont	Diptera	Glossinidae	None	Aedes aegypti	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia strain wMel	Bacteria	induce cytoplasmic incompatibility and control the spread of arboviruses around the world through blockage of viral transmission	Reproductive manipulation	None	Continued Susceptibility of the wMel Wolbachia Infection in Aedes aegypti to Heat Stress Following Field Deployment and Selection	10.3390/insects9030078	Insects	2018	None
1500	Symbiont	Lepidoptera	Erebidae	Lymantriinae	Lymantria dispar	Pseudomonadota	Moraxellales	Acinetobacter	Genus	Acinetobacter	Acinetobacter sp.	Bacteria	Bacteria isolated from a host plant had a glycoside-degrading activity, which enhanced growth of the moth when larvae were fed on a toxin-containing diet	Plant secondary metabolites	None	Detoxifying symbiosis: microbe-mediated detoxification of phytotoxins and pesticides in insects	10.1039/c7np00051k	NATURAL PRODUCT REPORTS	2018	None
1501	Symbiont	Hemiptera	Alydidae	None	Riptortus pedestris	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia sp.	Bacteria	Susceptible insects became resistant via acquisition of pesticide-degrading symbionts from pesticide-sprayed soil. This association could occur only after two-time-spraying on soil	Pesticide metabolization	None	Detoxifying symbiosis: microbe-mediated detoxification of phytotoxins and pesticides in insects	10.1039/c7np00051k	NATURAL PRODUCT REPORTS	2018	None
1502	Symbiont	Hemiptera	Blissidae	None	Cavelerius saccharivorus	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia sp.	Bacteria	Gut symbionts showed a pesticide-degrading activity in vivo and in vitro	Pesticide metabolization	None	Detoxifying symbiosis: microbe-mediated detoxification of phytotoxins and pesticides in insects	10.1039/c7np00051k	NATURAL PRODUCT REPORTS	2018	None
1503	Symbiont	Diptera	Tephritidae	Dacinae	Bactrocera dorsalis	Pseudomonadota	Enterobacterales	Citrobacter	Genus	Citrobacter	Citrobacter sp.	Bacteria	Pesticide-degrading bacteria were frequently detected from pesticide-resistant insects. Susceptible insects became resistant after inoculation of the pesticide-degrading symbiont	Pesticide metabolization	None	Detoxifying symbiosis: microbe-mediated detoxification of phytotoxins and pesticides in insects	10.1039/c7np00051k	NATURAL PRODUCT REPORTS	2018	None
1504	Symbiont	Diptera	Tephritidae	Trypetinae	Rhagoletis pomonella	Pseudomonadota	Enterobacterales	Enterobacter	Genus	Enterobacter	Enterobacter agglomerans	Bacteria	The gut symbiont had a phloridzin-degrading activity. Preincubation of phloridzin with the symbiont reduced its toxicity in insects	Plant secondary metabolites	None	Detoxifying symbiosis: microbe-mediated detoxification of phytotoxins and pesticides in insects	10.1039/c7np00051k	NATURAL PRODUCT REPORTS	2018	None
1505	Symbiont	Diptera	Tephritidae	Dacinae	Bactrocera oleae	Pseudomonadota	Enterobacterales	Erwinia	Genus	Erwinia	Candidatus Erwinia dacicola	Bacteria	Antibiotic-treated larvae showed high mortality on unripe olive. The symbiont expressed genes involved in oleuropein-degradation in the gut	Plant secondary metabolites	None	Detoxifying symbiosis: microbe-mediated detoxification of phytotoxins and pesticides in insects	10.1039/c7np00051k	NATURAL PRODUCT REPORTS	2018	None
1506	Symbiont	Coleoptera	Curculionidae	None	Cleonus trivittatus	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella oxytoca	Bacteria	Antibiotic-treated larvae suffered growth retardation on a diet containing plant extract or swainsonine. Gut bacteria showed toxin-degradation activities in vitro	Plant secondary metabolites	None	Detoxifying symbiosis: microbe-mediated detoxification of phytotoxins and pesticides in insects	10.1039/c7np00051k	NATURAL PRODUCT REPORTS	2018	None
1507	Symbiont	Diptera	Anthomyiidae	Anthomyiinae	Delia lupini	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella oxytoca	Bacteria	Antibiotic-treated larvae suffered growth retardation on a diet containing plant extract or swainsonine. Gut bacteria showed toxin-degradation activities in vitro	Plant secondary metabolites	None	Detoxifying symbiosis: microbe-mediated detoxification of phytotoxins and pesticides in insects	10.1039/c7np00051k	NATURAL PRODUCT REPORTS	2018	None
1508	Symbiont	Lepidoptera	Cosmopterigidae	Chrysopeleiinae	Walshia miscecolorella	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella oxytoca	Bacteria	Antibiotic-treated larvae suffered growth retardation on a diet containing plant extract or swainsonine. Gut bacteria showed toxin-degradation activities in vitro	Plant secondary metabolites	None	Detoxifying symbiosis: microbe-mediated detoxification of phytotoxins and pesticides in insects	10.1039/c7np00051k	NATURAL PRODUCT REPORTS	2018	None
1509	Symbiont	Coleoptera	Curculionidae	Scolytinae	Dendroctonus ponderosae	Ascomycota	Ophiostomatales	Leptographium	Genus	Leptographium	Grosmannia clavigera	Fungi	The symbiotic fungus can utilize terpenes as carbon sources. Genes involved in terpene-degradation were expressed in symbionts cultured with plant materials	Digestive enzymes	None	Detoxifying symbiosis: microbe-mediated detoxification of phytotoxins and pesticides in insects	10.1039/c7np00051k	NATURAL PRODUCT REPORTS	2018	None
1510	Symbiont	Coleoptera	Curculionidae	Scolytinae	Hypothenemus hampei	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas fulva	Bacteria	Antibiotic-treated larvae showed lower caffeine-degrading activity and increased mortality. These deficients were recovered by inoculation of the caffeine-degrading symbiont. A caffeine-degrading gene was detected from the symbiont	Plant secondary metabolites	None	Detoxifying symbiosis: microbe-mediated detoxification of phytotoxins and pesticides in insects	10.1039/c7np00051k	NATURAL PRODUCT REPORTS	2018	None
1511	Symbiont	Coleoptera	Curculionidae	None	Cleonus trivittatus	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas aeroginosa	Bacteria	Antibiotic-treated larvae suffered growth retardation on a diet containing plant extract or swainsonine. Gut bacteria showed toxin-degradation activities in vitro	Plant secondary metabolites	None	Detoxifying symbiosis: microbe-mediated detoxification of phytotoxins and pesticides in insects	10.1039/c7np00051k	NATURAL PRODUCT REPORTS	2018	None
1512	Symbiont	Diptera	Anthomyiidae	Anthomyiinae	Delia lupini	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas aeroginosa	Bacteria	Antibiotic-treated larvae suffered growth retardation on a diet containing plant extract or swainsonine. Gut bacteria showed toxin-degradation activities in vitro	Plant secondary metabolites	None	Detoxifying symbiosis: microbe-mediated detoxification of phytotoxins and pesticides in insects	10.1039/c7np00051k	NATURAL PRODUCT REPORTS	2018	None
1513	Symbiont	Lepidoptera	Cosmopterigidae	Chrysopeleiinae	Walshia miscecolorella	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas aeroginosa	Bacteria	Antibiotic-treated larvae suffered growth retardation on a diet containing plant extract or swainsonine. Gut bacteria showed toxin-degradation activities in vitro	Plant secondary metabolites	None	Detoxifying symbiosis: microbe-mediated detoxification of phytotoxins and pesticides in insects	10.1039/c7np00051k	NATURAL PRODUCT REPORTS	2018	None
1514	Symbiont	Coleoptera	Ptinidae	Xyletininae	Lasioderma serricorne	Ascomycota	Symbiotaphrinales	Symbiotaphrina	Genus	Symbiotaphrina	Symbiotaphrina kochii	Fungi	Antibiotic-treated insects suffered high mortality by phenoles. The symbiont showed phenol-degrading activities in vitro	Plant secondary metabolites	None	Detoxifying symbiosis: microbe-mediated detoxification of phytotoxins and pesticides in insects	10.1039/c7np00051k	NATURAL PRODUCT REPORTS	2018	None
1515	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia pipientis	Bacteria	increases the recombination rate observed across two genomic intervals and increases the efficacy of natural selection in hosts	None	None	Differential Regulation of Immune Signaling and Survival Response in Drosophila melanogaster Larvae upon Steinernema carpocapsae Nematode Infection	10.3390/insects9010017	Insects	2018	None
1516	Symbiont	Diptera	Culicidae	Anophelinae	Anopheles stephensi	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia sp.	Bacteria	produce lipodepsipeptides, stephensiolides A-K, that have antibiotic activity and facilitate bacterial surface motility.	Chemical biosynthesis	None	Discovery of Antimicrobial Lipodepsipeptides Produced by a Serratia sp. within Mosquito Microbiomes	10.1002/cbic.201800124	ChemBioChem	2018	None
1517	Amplicon	Diptera	Tephritidae	Dacinae	Bactrocera dorsalis	None	None	None	None	None	gut bacteria	Bacteria	None	None	SRR7110406-SRR7110407	Diversity of Bacterial Communities in the Intestinal Tracts of Two Geographically Distant Populations of Bactrocera dorsalis (Diptera: Tephritidae)	10.1093/jee/toy231	JOURNAL OF ECONOMIC ENTOMOLOGY	2018	None
1518	Symbiont	Hemiptera	Aphididae	Aphidinae	Sitobion miscanthi	Pseudomonadota	Enterobacterales	Candidatus Hamiltonella	Genus	Candidatus Candidatus Hamiltonella	Candidatus Hamiltonella defensa defensa	Bacteria	H. defensa may indirectly improve the fitness of S. miscanthi by stimulating the proliferation of Buchnera aphidicola	None	None	Effect of the Secondary Symbiont Hamiltonella defensa on Fitness and Relative Abundance of Buchnera aphidicola of Wheat Aphid, Sitobion miscanthi	10.3389/fmicb.2018.00582	FRONTIERS IN MICROBIOLOGY	2018	None
1519	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Acyrthosiphon pisum	Pseudomonadota	Enterobacterales	Buchnera	Genus	Buchnera	Buchnera aphidicola	Bacteria	involved in the biosynthesis of more than 10 essential amino acids	Nutrient provision	None	Effects of Endosymbiont Disruption on the Nutritional Dynamics of the Pea Aphid Acyrthosiphon pisum	10.3390/insects9040161	Insects	2018	None
1520	Symbiont	Diptera	Drosophilidae	Drosophilinae	Drosophila melanogaster	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	enhance nanos expression via the bacterial TomO protein in order to fuel germ stem cell maintenance in infected Drosophila females	Fertility	None	Enhancing Nanos expression via the bacterial TomO protein is a conserved strategy used by the symbiont Wolbachia to fuel germ stem cell maintenance in infected Drosophila females	10.1002/arch.21471	ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY	2018	None
1521	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera frugiperda	Ascomycota	Hypocreales	Epichloe	Genus	Epichloë	Epichloë schardlii	Fungi	protect their host by deterring feeding and negative effects on development	None	None	Epichloë endophytes of Poa alsodes employ alternative mechanisms for host defense: insecticidal versus deterrence	10.1007/s11829-018-9635-8	Arthropod-Plant Interactions	2018	None
1522	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Spodoptera frugiperda	Ascomycota	Hypocreales	Epichloe	Genus	Epichloë	Epichloë alsodes	Fungi	protect their host by larval mortality	None	None	Epichloë endophytes of Poa alsodes employ alternative mechanisms for host defense: insecticidal versus deterrence	10.1007/s11829-018-9635-8	Arthropod-Plant Interactions	2018	None
1523	Symbiont	Blattodea	Blattidae	Blattinae	Shelfordella lateralis	Verrucomicrobiota	Opitutales	Ereboglobus	Genus	Ereboglobus	Ereboglobus luteus	Bacteria	None	None	None	Ereboglobus luteus gen. nov. sp. nov. from cockroach guts, and new insights into the oxygen relationship of the genera Opitutus and Didymococcus (Verrucomicrobia: Opitutaceae)	10.1016/j.syapm.2017.10.005	Systematic and Applied Microbiology	2018	None
1524	Amplicon	Diptera	None	None	Anopheles, Aedes ,Culex	None	None	None	None	None	gut bacteria	Bacteria	None	None	SRR7890271-SRR7890320	Estimating bacteria diversity in different organs of nine species of mosquito by next generation sequencing	10.1186/s12866-018-1266-9	BMC MICROBIOLOGY	2018	None
1525	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Macrosteles quadrilineatus	Bacteroidota	Flavobacteriales	Candidatus Karelsulcia	Genus	Sulcia	Sulcia	Bacteria	Nasuia provides the two essential amino acids (EAAs)	Nutrient provision	SRP135830 and SRP135904	Evolution of host support for two ancient bacterial symbionts with differentially degraded genomes in a leafhopper host	10.1073/pnas.1811932115	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2018	None
